Japanese	Pronunciation	Use	type	rank	level
話	わ wa	Stories, episodes of TV series, etc.	common	173	A
本	ほん hon, ぽん pon, ぼん bon	"frequently used word Long, thin objects: rivers, roads, train tracks, ties, pencils, bottles, guitars; also, metaphorically, telephone calls, train or bus routes, movies (see also: tsūwa), points or bounds in sports events. Although the kanji also means ""book"", the counter for books is satsu."	common	179	A
回	かい kai	Frequently used word Occurrences, number of times (see also: do)	common	226	A
度	ど do, also たび tabi	Occurrences, number of times, degrees of temperature or angle (see also: kai).	common	283	A
名	めい mei	"People (polite) (the kanji means ""name"")"	common	321	A
部	ぶ bu	Copies of a magazine or newspaper, or other packets of papers	common	392	A
り	り ri	People, used in the words 一人 and 二人)	common	710	A
枚	まい mai	Frequently used word Thin, flat objects: sheets of paper, photographs, plates, articles of clothing (see also: chaku)	common	853	A
台	だい dai	Cars, bicycles, machines, mechanical devices, household appliances	common	965	A
つ	つ tsu	"General-purpose counter, used as part of the indigenous Japanese numbers (""one thing""), (""two things"")"	common	979	A
個	こ ko	frequently used word Implies that the item is small and/or round. The kanji is also used for military units.	common	1113	A
階	かい kai, がい gai	Number of floors, stories	common	1326	A
番	ばん ban	Position, turn, sports matches	common	1380	A
冊	さつ satsu	Books	common	1652	A
匹	ひき hiki, ぴき piki, びき biki	Small animals, insects, fish, reptiles, amphibians, oni (demons/ogres)	common	2390	A
杯	はい hai, ぱい pai, ばい bai	Cups and glasses of drink, spoonsful; cuttlefish, octopuses, crabs, squid, abalone, boats (slang)	common	2705	A
泊	はく haku, ぱく paku	Nights of a stay	common	4618	B1
畳	じょう jō	Tatami mats. The kanji is also read tatami and is the same one used for the mats. The room size of a washitsu in Japan is given as a number of mats, for example 4½ jō	common	6665	B1
箇	こ ko	frequently used word Implies that the item is small and/or round.	common		B1
箇月	かげつ kagetsu	Month-long periods (see also: gatsu). The kanji is normally abbreviated using a small katakana ヶ in modern Japanese. Alternatively 個, hiragana か, small katakana ヵ and full-size katakana カ & ケ can also be seen, although only か is similarly frequent.	common		B1
点	てん ten	Points, dots, pieces of a set	extended	200	A
ページ	ぺーじ pēji	Pages	extended	359	A
場	ば ba	Scene of a play	extended	449	A
社	しゃ sha	used for businesses	extended	453	A
体	たい tai	Images, statues, person's remains, dolls, androids, humanoid robots	extended	489	A
頭	とう tō	"Large animals, cattle, elephants, whales, dolphins, butterflies (the kanji means ""head"")"	extended	501	A
面	めん men	Mirrors, boards for board games (chess, igo, shogi), stages of computer games, walls of a room, tennis courts	extended	552	A
夜	や ya	Nights (see also: ban)	extended	566	A
例	れい rei	Cases, Examples	extended	592	A
町	ちょう chō	Town blocks	extended	615	B1
通り	とおり tōri	Combinations, puzzle solutions	extended	637	B1
曲	きょく kyoku	Pieces of music	extended	652	B1
語	ご go	Words	extended	673	B1
件	けん ken	Abstract matters and cases	extended	691	B1
機	き ki	Aircraft, machines	extended	750	B1
局	きょく kyoku	Board game matches (chess, igo, shogi, mahjong); radio stations, television stations	extended	753	B1
品	ひん hin, ぴん pin	Parts of a meal, courses (see also: shina)	extended	791	B1
品	しな shina	Parts of a meal, courses (see also: hin)	extended	791	B1
足	そく soku	Pairs of footwear, pairs of socks, stockings, tabi	extended	856	B1
代	だい dai	Generations, historical periods, reigns	extended	873	B1
区	く ku	Sections, city districts	extended	883	B1
条	じょう jō	Articles of law, thin objects, rays or streams of light, streaks of smoke or lightning	extended	885	B1
口	くち kuchi	"(Bank) accounts, donations (the kani means ""opening"" or ""entrance"")"	extended	902	B1
式	しき shiki	Sets of things, such as documents or furniture	extended	903	B1
株	かぶ kabu	Stocks; nursery trees	extended	943	B1
つ	つ tsu	Used as part of the indigenous Japanese numbers	extended	979	B1
種類	しゅるい shurui or しゅ shu	Kinds, species	extended	1117	B1
種	しゅるい shurui or しゅ shu	Kinds, species	extended	1177	B1
クラス	くらす kurasu	School classes	extended	1258	B1
文	ぶん bun	Sentences	extended	1306	B1
客	きゃく kyaku	Pairs of cup and saucer	extended	1350	B1
席	せき seki	Seats, Rakugo shows, (drinking) parties	extended	1426	B1
組	くみ kumi	Groups, a pair of people (twins, a husband and a wife, dancers, etc.)	extended	1573	B1
行	ぎょう gyō	Lines of text	extended	1616	B1
行	こう kō	Banks	extended	1616	B1
巻	まき maki or かん kan	Rolls, scrolls, kan for volumes of book	extended	1862	B1
両	りょう ryō	Railway cars	extended	1922	B1
箱	はこ hako	Boxes	extended	1961	B1
発	はつ hatsu, ぱつ patsu	Gunshots, bullets, aerial fireworks; orgasms, sex acts	extended	2023	B1
歩	ほ ho, ぽ po	Number of (foot)steps	extended	2136	B1
問	もん mon	Questions	extended	2139	B1
字	じ ji	Letters, kanji, kana	extended	2194	B1
首	しゅ shu	Tanka	extended	2227	B1
服	ふく fuku, ぷく puku	Bowls of matcha (powdered green tea); packets or doses of powdered medicine; puffs (of, e.g., a cigarette); rests or breaks	extended	2271	B1
幅	ふく fuku, ぷく puku	Hanging scrolls (kakejiku)	extended	2600	B1
校	こう kō	Schools	extended	2674	B1
頁	ぺーじ pēji	Pages	extended	2784	B1
票	ひょう hyō, ぴょう pyō	Votes	extended	2878	B1
通	つう tsū	Letters	extended	2939	B1
画	かく kaku	Strokes in kanji	extended	3004	B1
勝	しょう shō	Wins (sports bouts)	extended	3092	B1
課	か ka	Lessons	extended	3196	B1
着	ちゃく chaku	Suits of clothing (see also: mai)	extended	3364	B1
言	ごん gon, also こと koto	Words	extended	3465	B1
柱	はしら hashira	gods, memorial tablets	extended	3523	B1
門	もん mon	Cannons	extended	3580	B1
基	き ki	Graves, wreaths, CPUs, reactors, elevators, dams	extended	3650	B1
段	だん dan	levels, ranks, steps (of stairs).	extended	3778	B1
児	じ ji	"Children. As in ""father of two (children)"", etc."	extended	3981	B1
輪	りん rin	Wheels, Flowers	extended	3988	B1
晩	ばん ban	Nights (see also: ya)	extended	4325	B2
戸	こ ko	"Houses (the kanji means ""door"")"	extended	4606	B2
羽	わ wa, ば ba, ぱ pa	"Birds, rabbits 羽 means ""feather"" or ""wing."""	extended	4717	B2
軒	けん ken, げん gen	Houses	extended	4805	B2
幕	まく maku	Theatrical acts	extended	5216	B2
合	ごう gō	small container (e.g. rice cup, sake cup)	extended	5280	B2
脚	きゃく kyaku	Desks, chairs, long-stemmed glasses	extended	5511	B2
具	ぐ gu	Suits of armour, sets of furniture	extended	5989	B2
コマ	こま koma	Frames, panels. 齣 is virtually unused nowadays.	extended	6006	B2
学級	がっきゅう gakkyū	Classes (in pre-university education)	extended	6031	B2
系統	けいとう keitou	Bus routes	extended	6051	B2
粒	つぶ tsubu	Almonds, grain	extended	6158	B2
句	く ku	Haiku, senryū	extended	6545	B2
切れ	きれ kire	Slices (of bread, cake, sashimi etc.)	extended	6657	B2
筆	ふで fude	"Sequences of letters or drawings that you write or draw without removing your pen off the paper. Not to be confused with ""hitsu"" below."	extended	6879	B2
筆	ひつ hitsu, ぴつ pitsu	pices of land and number of people	extended	6879	B2
艦	かん kan	Warships	extended	6970	B2
尾	び bi	Small fish and shrimps (used in the fish trade; most people say hiki instead)	extended	7018	B2
折	おり ori	Boxes made of folded paper (compare to hako above, which refers to boxes in general)	extended	7208	B2
通話	つうわ tsūwa	Telephone calls (see also: hon)	extended	7472	B2
敗	はい hai	Losses (sports bouts)	extended	7619	B2
稿	こう kō	Drafts of a manuscript	extended	8440	B2
張	はり hari	Umbrellas, parasols, tents	extended	8982	B2
礼	れい rei	Bows during worship at a shrine	extended	9226	B2
錠	じょう jō	Pills/capsules	extended	10113	C
隻	せき seki	Ships, half of a pair (e.g., half of a folding screen), item carried in a bundle (fish, birds, arrows etc.)	extended	10177	C
束	たば taba	bundles (of banknotes), bunches (of flowers, vegetables), sheaves	extended	10418	C
人前	にんまえ ninmae	Food portions (without exceptions, unlike nin above)	extended	10540	C
丁	ちょう chō	Tools, scissors, saws, trousers, pistols, cakes of tofu, town blocks, servings at a restaurant	extended	11540	C
段落	だんらく danraku	Paragraphs	extended	11643	C
拍子	ひょうし hyōshi, びょうし byōshi	Musical beats	extended	12036	C
ヶ国	かこく kakoku	Countries	extended	12223	C
双	そう sou	Pairs	extended	13783	C
挺	ちょう chō	Guns, sticks of ink, palanquins, rickshaws, violins	extended		C
振	ふり furi	Swords	extended		C
架	か ka	Frames	extended		C
箇国	かこく kakoku	Countries	extended		C
ヶ国語	かこくご kakokugo	(National) languages	extended		C
箇国語	かこくご kakokugo	(National) languages	extended		C
貫	かん kan	Pieces of nigiri-zushi	extended		C
斤	きん kin	Loaves of bread	extended		C
献	こん kon	shots (of drink)	extended		C
棹	さお sao	Chests of drawers, flags	extended		C
俵	たわら tawara	Bags of rice	extended		C
滴	てき teki	Drops of liquid	extended		C
把	わ wa	Bundles	extended		C
膳	ぜん zen	Pairs of chopsticks; bowls of rice	extended		C
